audio_path,mse
AutoVoice\Recorder\Recordings\audio_0.wav,97.386513
AutoVoice\Recorder\Recordings\audio_96.wav,78.504036
AutoVoice\Recorder\Recordings\audio_74.wav,57.641262
AutoVoice\Recorder\Recordings\audio_1.wav,50.044971
AutoVoice\Recorder\Recordings\audio_75.wav,34.128307
AutoVoice\Recorder\Recordings\audio_100.wav,29.804985
AutoVoice\Recorder\Recordings\audio_6.wav,24.181330
AutoVoice\Recorder\Recordings\audio_37.wav,13.988952
AutoVoice\Recorder\Recordings\audio_18.wav,13.498665
AutoVoice\Recorder\Recordings\audio_43.wav,12.568449
AutoVoice\Recorder\Recordings\audio_55.wav,11.840216
AutoVoice\Recorder\Recordings\audio_14.wav,11.698152
AutoVoice\Recorder\Recordings\audio_121.wav,11.271052
AutoVoice\Recorder\Recordings\audio_42.wav,10.741668
AutoVoice\Recorder\Recordings\audio_106.wav,9.330375
AutoVoice\Recorder\Recordings\audio_99.wav,8.411982
AutoVoice\Recorder\Recordings\audio_33.wav,7.819661
AutoVoice\Recorder\Recordings\audio_49.wav,7.742007
AutoVoice\Recorder\Recordings\audio_120.wav,7.475737
AutoVoice\Recorder\Recordings\audio_3.wav,7.049386
AutoVoice\Recorder\Recordings\audio_103.wav,6.889733
AutoVoice\Recorder\Recordings\audio_30.wav,6.113904
AutoVoice\Recorder\Recordings\audio_72.wav,5.852688
AutoVoice\Recorder\Recordings\audio_119.wav,5.275116
AutoVoice\Recorder\Recordings\audio_82.wav,5.150594
AutoVoice\Recorder\Recordings\audio_9.wav,4.913807
AutoVoice\Recorder\Recordings\audio_142.wav,4.857121
AutoVoice\Recorder\Recordings\audio_23.wav,4.810291
AutoVoice\Recorder\Recordings\audio_130.wav,4.757032
AutoVoice\Recorder\Recordings\audio_34.wav,4.650847
AutoVoice\Recorder\Recordings\audio_63.wav,4.437494
AutoVoice\Recorder\Recordings\audio_47.wav,4.432442
AutoVoice\Recorder\Recordings\audio_141.wav,4.356540
AutoVoice\Recorder\Recordings\audio_15.wav,4.222150
AutoVoice\Recorder\Recordings\audio_52.wav,4.030159
